61.160.247.34 - - [09/Jun/2014:00:00:12 +0800] "GET / HTTP/1.1" 200 11248
27.24.196.138 - - [09/Jun/2014:00:00:59 +0800] "GET / HTTP/1.0" 200 11228
125.46.40.17 - - [09/Jun/2014:00:13:11 +0800] "HEAD / HTTP/1.1" 200 -
125.73.110.174 - - [09/Jun/2014:00:18:03 +0800] "GET / HTTP/1.0" 200 11228
1.163.195.247 - - [09/Jun/2014:00:29:00 +0800] "CONNECT mx2.mail2000.com.tw:25 HTTP/1.0" 400 -
180.124.43.190 - - [09/Jun/2014:00:30:10 +0800] "GET / HTTP/1.0" 200 11228
125.46.40.17 - - [09/Jun/2014:01:39:12 +0800] "HEAD / HTTP/1.1" 200 -
222.218.133.145 - - [09/Jun/2014:01:41:38 +0800] "GET / HTTP/1.0" 200 11228
0:0:0:0:0:0:0:1 - - [09/Jun/2014:01:47:22 +0800] "GET / HTTP/1.1" 200 11248
0:0:0:0:0:0:0:1 - - [09/Jun/2014:01:47:22 +0800] "GET /tomcat.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jun/2014:01:47:22 +0800] "GET /tomcat.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jun/2014:01:47:22 +0800] "GET /bg-nav.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jun/2014:01:47:22 +0800] "GET /asf-logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jun/2014:01:47:22 +0800] "GET /bg-upper.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jun/2014:01:47:22 +0800] "GET /bg-middle.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jun/2014:01:47:22 +0800] "GET /bg-button.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jun/2014:01:47:26 +0800] "GET /solr HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Jun/2014:01:47:26 +0800] "GET /solr/ HTTP/1.1" 200 5892
0:0:0:0:0:0:0:1 - - [09/Jun/2014:01:47:26 +0800] "GET /solr/css/styles/common.css?_=4.8.1 HTTP/1.1" 200 13502
0:0:0:0:0:0:0:1 - - [09/Jun/2014:01:47:26 +0800] "GET /solr/css/styles/analysis.css?_=4.8.1 HTTP/1.1" 200 6070
0:0:0:0:0:0:0:1 - - [09/Jun/2014:01:47:26 +0800] "GET /solr/css/styles/cloud.css?_=4.8.1 HTTP/1.1" 200 6666
0:0:0:0:0:0:0:1 - - [09/Jun/2014:01:47:26 +0800] "GET /solr/css/styles/dashboard.css?_=4.8.1 HTTP/1.1" 200 3455
0:0:0:0:0:0:0:1 - - [09/Jun/2014:01:47:26 +0800] "GET /solr/css/styles/cores.css?_=4.8.1 HTTP/1.1" 200 4431
0:0:0:0:0:0:0:1 - - [09/Jun/2014:01:47:26 +0800] "GET /solr/css/styles/dataimport.css?_=4.8.1 HTTP/1.1" 200 7504
0:0:0:0:0:0:0:1 - - [09/Jun/2014:01:47:26 +0800] "GET /solr/css/styles/files.css?_=4.8.1 HTTP/1.1" 200 1156
0:0:0:0:0:0:0:1 - - [09/Jun/2014:01:47:26 +0800] "GET /solr/css/styles/logging.css?_=4.8.1 HTTP/1.1" 200 8326
0:0:0:0:0:0:0:1 - - [09/Jun/2014:01:47:26 +0800] "GET /solr/css/styles/menu.css?_=4.8.1 HTTP/1.1" 200 6212
0:0:0:0:0:0:0:1 - - [09/Jun/2014:01:47:26 +0800] "GET /solr/css/styles/plugins.css?_=4.8.1 HTTP/1.1" 200 4087
0:0:0:0:0:0:0:1 - - [09/Jun/2014:01:47:26 +0800] "GET /solr/css/styles/documents.css?_=4.8.1 HTTP/1.1" 200 3581
0:0:0:0:0:0:0:1 - - [09/Jun/2014:01:47:26 +0800] "GET /solr/css/styles/index.css?_=4.8.1 HTTP/1.1" 200 4627
